ID,State,Date,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Type_of_Junction,Type_of_Accident,Vehicle_Type,Driver_Age_Group,Num_Vehicles_Involved,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response
165716,Alabama,2024-01-24 22:22:27,Tuesday,21:07:59,,Muddy,Night,Highway,Underpass,Side collision,Motorcycle,Young Adult,2,0,51,0.4019423815,9.724503772,838.9350164,9.68814868,0.8232823783,94,20.07559129
165717,Utah,2024-01-14 15:04:27,Thursday,10:45:10,Rainy,Wet,Dusk,Freeway,Crossroads,Head-on collision,Pedestrian,Adult,5,0,52,3.641422609,6.90110731,834.0596522,,0.8638644063,49,15.85892933
165718,Pennsylvania,2024-01-06 12:09:49,Tuesday,05:06:13,Sunny,Muddy,Daylight,Urban,,Rollover,Motorcycle,Adult,4,1,67,6.069486119,8.542546314,210.2528861,4.454364172,0.3275060166,22,
165719,Louisiana,2024-01-14 23:51:19,Sunday,07:12:09,Sunny,Dry,Dawn,Rural,,Rollover,Pedestrian,Young Adult,4,2,53,5.26624548,2.207516252,937.8436819,8.898494293,0.8481492732,88,
165720,New Jersey,2024-01-22 10:00:53,Monday,11:26:31,Stormy,Snowy,Night,Highway,Overpass,Side collision,Truck,Young Adult,5,3,35,5.978360256,0.2617323199,373.6038365,9.048314362,0.4511835616,18,28.24794712
165721,Florida,2024-02-22 20:12:04,Thursday,18:58:55,Rainy,Muddy,Dusk,Highway,Overpass,Run-off-road,Truck,Young Adult,4,3,59,6.800416117,7.665949426,617.7275969,3.961577325,0.2905848951,19,12.68367742
165722,Maine,2024-02-11 19:23:31,Tuesday,22:48:30,Sunny,Dry,Night,Rural,Overpass,Rear-end collision,Truck,Young Adult,4,0,67,7.66650732,6.892626522,129.8598903,6.69388715,0.6893167078,77,8.423234891
165723,Florida,2024-01-31 07:11:21,Sunday,03:37:24,Rainy,Wet,Dusk,Freeway,Crossroads,Pedestrian involved,Motorcycle,Senior,1,3,31,3.004171058,1.163048221,424.166442,4.802694669,0.6950205856,32,9.808712976
165724,Connecticut,2024-01-04 15:07:51,Tuesday,20:03:34,Foggy,Muddy,Night,Urban,Intersection,Rear-end collision,Motorcycle,Teenager,1,1,60,6.008024023,2.495289285,864.374164,5.323107772,0.7020447521,22,24.00603366
165725,Minnesota,2024-01-07 09:24:46,Monday,08:12:24,Snowy,Muddy,Dawn,Urban,Overpass,Run-off-road,Motorcycle,Senior,3,0,47,7.97345193,3.924019734,288.5142337,9.026681867,0.8326676097,,24.89574968
165726,Rhode Island,2024-02-08 14:22:38,Saturday,18:49:04,Rainy,Dry,Dusk,Rural,T-Junction,Pedestrian involved,Pedestrian,Teenager,2,2,60,5.63166067,2.453463885,204.7494309,8.943792995,0.3742664243,93,26.85677105
165727,Maine,2024-01-20 09:24:54,Monday,02:05:25,Sunny,Dry,Dawn,Street,Underpass,Rear-end collision,Pedestrian,Adult,4,0,50,0.6366540995,8.361742872,971.0281638,4.118337846,0.1882154341,60,17.3748071
165728,Colorado,2024-01-02 20:38:38,Thursday,14:31:36,,Dry,Night,Rural,T-Junction,Rollover,Truck,Young Adult,1,0,53,6.574616257,2.82869492,362.3284681,9.412682021,0.3490582836,13,
165729,Wisconsin,2024-01-26 05:51:17,Wednesday,21:59:49,,Wet,Dawn,Highway,Underpass,Rollover,Car,Young Adult,1,1,36,5.881933632,1.295841328,404.2383864,7.53311057,0.9380999077,23,22.58862295
165730,Indiana,2024-02-08 14:53:07,Sunday,13:09:50,Sunny,Wet,Daylight,Urban,Underpass,Run-off-road,Truck,Adult,3,2,67,7.342616721,2.831019037,788.0668485,5.146620687,0.1143706135,61,22.85120318
165731,South Dakota,2024-01-31 21:26:46,Friday,15:45:59,Snowy,Wet,Night,Freeway,Underpass,Cyclist involved,Bicycle,Adult,4,2,36,0.8010633542,9.458216095,881.4863784,7.525662742,0.6234059724,14,15.59772448
165732,Connecticut,2024-02-28 19:47:53,Wednesday,19:09:33,Stormy,Muddy,Night,Rural,Underpass,Run-off-road,Pedestrian,Young Adult,4,0,31,5.479757366,0.2836920608,579.9203148,8.550768559,0.5967585343,45,28.32404256
165733,Michigan,2024-02-08 11:52:15,Friday,21:52:57,Foggy,Snowy,Night,Urban,Roundabout,Head-on collision,Truck,Adult,3,1,47,3.513539157,9.732382522,138.8824908,6.845949581,0.4984131235,22,29.46676787
165734,Arizona,2024-01-15 10:13:50,Sunday,16:54:25,Foggy,Icy,Daylight,Highway,Overpass,Cyclist involved,Truck,Senior,1,2,36,9.884646594,8.356016096,957.3303059,4.476772611,0.8538448342,49,24.18577092
165735,Maryland,2024-01-17 13:21:03,Wednesday,10:28:57,Stormy,Dry,Daylight,Street,Overpass,Run-off-road,Truck,Adult,4,3,68,8.208919035,0.7748652131,287.6117325,9.140366364,0.2954747379,53,5.782042464
165736,Illinois,2024-01-27 16:08:23,Tuesday,23:41:12,Rainy,Icy,Dawn,Highway,Intersection,Run-off-road,Truck,Young Adult,1,1,43,4.622233451,7.91648194,216.5163379,5.789751622,0.7854436176,81,21.54446952
165737,Connecticut,2024-02-23 20:53:41,Sunday,00:30:19,Rainy,Wet,Dawn,Highway,Crossroads,Rollover,Car,Teenager,1,0,57,4.279894782,2.615060918,878.6219664,9.154657459,0.289252351,0,23.1274487
165738,Delaware,2024-02-10 09:34:26,Thursday,17:46:48,Stormy,Wet,Dusk,Urban,Underpass,Rollover,Truck,Adult,1,1,67,3.966698679,9.471346138,762.2251223,8.552200333,0.2250228382,6,22.73029536
165739,New York,2024-01-27 23:23:26,Friday,23:50:37,Foggy,Dry,Dusk,Freeway,Overpass,Side collision,Truck,Senior,3,1,38,1.87267947,7.028419171,234.0948893,9.034126818,0.9853510937,38,24.06464656
165740,Wyoming,2024-02-13 07:41:38,Friday,10:32:06,Rainy,Muddy,Dusk,Street,Underpass,Cyclist involved,Car,Senior,3,3,54,0.6564159042,1.468389058,657.5095208,4.418874069,0.2041453939,,28.18346933
165741,West Virginia,2024-01-26 09:20:15,Friday,13:18:35,Stormy,Snowy,Daylight,Rural,Intersection,Side collision,Car,Young Adult,1,3,40,0.9823461952,5.013647991,222.2624797,8.808611766,0.5880745459,2,
165742,Iowa,2024-02-21 00:27:10,Monday,14:06:40,,Dry,Night,Freeway,Underpass,Head-on collision,Motorcycle,Teenager,3,0,30,5.362300652,8.58443038,820.2144675,6.764980563,0.8614857233,43,21.38087716
165743,Oklahoma,2024-01-29 08:51:31,Friday,00:16:09,Sunny,Icy,Daylight,Street,Roundabout,Pedestrian involved,Bicycle,Young Adult,5,3,30,0.9777431708,5.674820158,388.2853883,3.245783844,0.3428572793,14,14.12942232
165744,Kansas,2024-02-22 00:48:21,Thursday,23:16:47,Stormy,Icy,Dusk,Street,Roundabout,Side collision,Motorcycle,Teenager,3,1,55,6.62773308,1.919099748,270.9251776,6.855063644,0.4312013365,43,15.56737588
165745,New Mexico,2024-02-01 17:33:24,Friday,11:04:06,Sunny,Dry,Dawn,Freeway,Overpass,Cyclist involved,Motorcycle,Young Adult,1,0,50,5.588843929,5.435720752,428.7484664,6.825972845,0.5450293155,59,27.15472936
165746,Georgia,2024-01-28 03:35:40,Saturday,07:37:06,Foggy,Muddy,Daylight,Street,Overpass,Head-on collision,Motorcycle,Young Adult,2,2,54,7.571399062,0.8324508648,846.1233798,4.117987133,0.112924088,73,20.74897936
165747,Nebraska,2024-02-27 03:59:00,Friday,18:53:52,Rainy,Muddy,Dusk,Highway,Crossroads,Run-off-road,Motorcycle,Teenager,4,3,70,6.604663769,6.394492736,750.5857488,3.729848361,0.6764648609,49,7.137050197
165748,Florida,2024-02-26 18:41:52,Sunday,22:43:25,Stormy,Icy,Night,Urban,Crossroads,Rear-end collision,Car,Adult,3,3,50,1.718318625,6.155988255,267.3076182,5.527902193,0.9501426612,25,28.54493991
165749,Oregon,2024-02-19 15:41:04,Friday,23:29:31,Stormy,Wet,Daylight,Highway,Underpass,Pedestrian involved,Bicycle,Teenager,4,2,38,0.9750439245,3.962603146,801.3291612,5.746323632,0.3133749926,74,29.30219431
165750,Iowa,2024-02-17 08:39:16,Wednesday,07:13:20,Stormy,Icy,Dusk,Street,Crossroads,Head-on collision,Motorcycle,Young Adult,1,3,32,4.075729375,0.9413623335,943.7073119,7.726955225,0.3050022762,3,12.63154539
165751,Nevada,2024-01-29 14:05:30,Monday,05:57:12,Foggy,Wet,Dawn,Urban,Underpass,Rear-end collision,Pedestrian,Senior,2,0,44,9.776336472,3.300145069,981.1632596,4.900311383,0.5083847719,3,16.92155208
165752,Arizona,2024-02-18 08:25:16,Sunday,01:36:14,Foggy,Icy,Dusk,Rural,T-Junction,Rollover,Truck,Teenager,5,1,39,0.522652945,7.397805947,956.8953108,5.338727836,0.7561707661,66,19.20770288
165753,Wisconsin,2024-02-13 13:48:47,Saturday,14:31:12,Rainy,Dry,Daylight,Highway,Roundabout,Head-on collision,Bicycle,Teenager,4,2,53,3.141934675,7.648181324,274.7822038,4.179962859,0.2742368995,22,12.91026915
165754,Nevada,2024-02-26 19:06:04,Saturday,21:52:50,Sunny,Wet,Dusk,Rural,Overpass,Run-off-road,Bicycle,Senior,3,2,67,4.156694995,2.691953482,205.8808685,4.82167122,0.7187480251,50,17.32363747
165755,Florida,2024-02-18 21:27:11,Thursday,17:53:27,Sunny,Dry,Daylight,Urban,Crossroads,Pedestrian involved,Pedestrian,Senior,5,2,66,9.679997005,6.906741865,820.0245977,3.883227864,0.4185328199,61,19.29034328
165756,Maine,2024-02-09 20:50:53,Monday,00:01:33,Sunny,Wet,Daylight,Freeway,Underpass,Rollover,Bicycle,Young Adult,4,3,54,3.593816596,1.997905128,225.787892,4.028118569,0.8822893364,54,6.2554234
165757,Mississippi,2024-02-27 21:02:00,Thursday,23:25:26,Stormy,Wet,Dusk,Highway,Crossroads,Head-on collision,Bicycle,Young Adult,3,0,54,0.8607505561,1.938555729,922.3032784,6.155430221,0.7475118168,1,18.67923787
165758,Arkansas,2024-01-10 04:01:17,Monday,05:58:43,Sunny,Icy,Dawn,Rural,Intersection,Pedestrian involved,Truck,Teenager,1,1,33,7.977719322,3.289537604,231.0879838,,0.7337322119,5,18.87624749
165759,Wyoming,2024-02-18 19:29:42,Monday,15:47:28,,Icy,Dusk,Rural,T-Junction,Pedestrian involved,Truck,Adult,5,3,57,1.594258504,4.158307661,137.1254549,9.052509904,0.3433212609,47,20.41783458
165760,New Mexico,2024-01-06 06:53:03,Saturday,03:00:31,Stormy,Dry,Dawn,Highway,Overpass,Pedestrian involved,Truck,Adult,3,1,57,5.662487313,3.922303411,626.3037322,4.973868397,0.1044551208,64,13.24553121
165761,California,2024-02-18 04:36:24,Saturday,11:04:12,Sunny,Muddy,Dusk,Rural,,Side collision,Pedestrian,Young Adult,4,2,54,2.301614711,2.968998133,365.8137677,9.874618399,0.3529360956,59,22.81427423
165762,Colorado,2024-01-06 10:01:15,Tuesday,11:27:52,Stormy,Muddy,Dusk,Freeway,,Run-off-road,Bicycle,Teenager,1,1,47,2.031466266,2.385364646,359.4539656,5.476014852,0.2899157285,15,16.1054427
165763,Vermont,2024-01-20 21:27:28,Monday,20:55:00,Foggy,Snowy,Daylight,Freeway,T-Junction,Run-off-road,Truck,Teenager,4,2,56,0.4257524172,6.580891806,794.583667,3.453195524,0.5439593105,49,18.01040772
165764,Connecticut,2024-01-18 20:22:29,Sunday,01:52:45,Stormy,Icy,Daylight,Street,,Side collision,Bicycle,Adult,5,1,33,2.337129212,7.040941467,412.3987161,9.990799244,0.732770782,89,16.19747498
165765,West Virginia,2024-02-19 18:28:41,Sunday,02:36:06,Foggy,Dry,Daylight,Street,Crossroads,Run-off-road,Truck,Young Adult,1,0,59,1.29459318,4.379396735,746.8147769,8.060655652,0.5155257051,,8.821010436
165766,Missouri,2024-01-22 05:56:55,Wednesday,14:34:17,Sunny,Dry,Dawn,Highway,,Rollover,Bicycle,Young Adult,5,3,52,5.789340084,5.797679289,712.244601,9.269260118,0.3950295608,31,
165767,Connecticut,2024-01-25 21:34:43,Monday,01:27:12,Rainy,Muddy,Night,Street,Overpass,Rear-end collision,Car,Senior,5,1,49,5.810427982,7.628616195,796.9579012,4.589567978,0.2459431725,,28.88374746
165768,Louisiana,2024-01-28 16:48:39,Wednesday,15:08:49,Stormy,Dry,Daylight,Urban,T-Junction,Rollover,Car,Teenager,5,2,42,5.198950105,0.508828965,958.7479999,,0.3476129372,67,6.045129659
165769,Florida,2024-02-12 12:18:55,Saturday,19:57:35,Sunny,Snowy,Dawn,Urban,T-Junction,Rear-end collision,Truck,Young Adult,4,1,54,0.5581774396,1.019032236,669.9971373,9.101209933,0.2689658644,86,21.20674113
165770,Maine,2024-01-30 07:14:47,Friday,20:04:51,Foggy,Snowy,Dusk,Highway,Roundabout,Rollover,Car,Teenager,2,0,42,5.285111013,8.759392318,525.0719019,6.722445949,0.1813258148,31,12.37848521
165771,New Mexico,2024-01-14 07:53:04,Sunday,04:05:02,Sunny,Wet,Daylight,Urban,Roundabout,Cyclist involved,Motorcycle,Adult,3,2,,1.989776425,1.589939272,791.2171737,,0.5231006085,89,8.782319511
165772,Nevada,2024-02-12 12:05:46,Friday,12:38:52,Rainy,Muddy,Dawn,Urban,Overpass,Run-off-road,Pedestrian,Teenager,4,1,44,3.264239596,3.565188162,870.9063047,3.091535098,0.3419364194,,17.27350805
165773,Arizona,2024-02-18 04:45:32,Monday,14:02:28,Foggy,Muddy,Daylight,Urban,Intersection,Cyclist involved,Motorcycle,Young Adult,4,0,67,8.004649256,4.537438536,306.885846,6.388449657,0.8166737291,6,26.13364388
165774,New York,2024-02-09 21:44:27,Wednesday,20:37:13,Sunny,Dry,Night,Street,,Side collision,Car,Adult,3,1,40,0.9085598127,8.616347475,847.4711884,8.525556707,0.9595647113,24,28.00584955
165775,New Jersey,2024-01-01 11:22:32,Wednesday,00:33:57,Foggy,Dry,Night,Rural,Roundabout,Side collision,Motorcycle,Teenager,2,3,53,4.603454526,0.9125843768,944.0947135,7.989569008,0.9703613177,98,10.25146205
165776,Wyoming,2024-01-03 06:25:53,Thursday,17:16:48,Rainy,Dry,Night,Urban,Roundabout,Head-on collision,Car,Adult,3,3,59,7.698902853,2.734119671,978.0436903,7.398021822,0.4559491807,28,14.74260629
165777,Georgia,2024-02-27 06:22:07,Saturday,03:42:11,Sunny,Snowy,Dawn,Rural,Roundabout,Rear-end collision,Car,Young Adult,3,0,,3.255199202,8.610584957,645.6038308,3.797394345,0.7224120904,63,6.108926433
165778,Mississippi,2024-01-23 23:38:50,Wednesday,13:50:24,Sunny,Dry,Daylight,Street,Underpass,Head-on collision,Car,Young Adult,5,0,34,5.714605944,9.841709735,283.3416383,4.126621604,0.726406805,11,12.86141223
165779,Kansas,2024-02-07 17:01:07,Wednesday,14:21:29,Snowy,Dry,Dawn,Highway,Crossroads,Side collision,Truck,Teenager,3,0,,2.702600901,0.6254852629,237.7063122,3.025089878,0.7049824139,,24.49816243
165780,New Mexico,2024-02-19 10:54:42,Tuesday,01:54:54,Rainy,Muddy,Dawn,Street,Intersection,Run-off-road,Car,Young Adult,5,3,59,3.695270148,1.52615058,382.4407254,9.425399788,0.3240211271,62,11.68519908
165781,Alaska,2024-02-14 12:55:35,Wednesday,02:30:21,Sunny,Dry,Dusk,Urban,Underpass,Run-off-road,Bicycle,Adult,2,1,58,7.418232853,7.712105507,178.1904412,,0.8592885545,35,19.52517754
165782,Colorado,2024-01-23 13:13:42,Friday,20:38:00,Rainy,Dry,Dawn,Street,Intersection,Head-on collision,Pedestrian,Young Adult,1,0,30,9.537057373,4.08933069,958.7225503,7.462517023,0.2946921266,22,7.733980603
165783,Alabama,2024-01-15 15:16:27,Sunday,04:44:24,Foggy,Muddy,Night,Street,Crossroads,Head-on collision,Bicycle,Adult,5,2,53,7.148058303,8.413477052,311.8810284,3.685277424,0.8580781759,40,6.141505274
165784,Rhode Island,2024-01-03 00:31:28,Thursday,09:00:29,Stormy,Snowy,Dawn,Rural,Underpass,Rollover,Pedestrian,Teenager,3,3,30,3.932046558,8.793456457,574.9382132,,0.1149236778,,15.11650206
165785,Massachusetts,2024-01-02 10:14:57,Wednesday,13:27:30,Rainy,Dry,Night,Highway,Roundabout,Head-on collision,Motorcycle,Adult,4,2,48,5.98060644,2.887835482,584.7037894,,0.2168908757,54,27.45014115
165786,Pennsylvania,2024-02-21 21:59:36,Saturday,12:04:07,Foggy,Dry,Dusk,Freeway,Crossroads,Run-off-road,Car,Adult,3,1,58,3.271988181,2.171733662,593.4948038,9.441988856,0.3777463368,59,14.91830076
165787,Mississippi,2024-02-27 02:37:17,Friday,11:00:09,Sunny,Dry,Dawn,Street,Crossroads,Rollover,Car,Senior,1,0,52,1.081964369,8.964179496,819.1250703,,0.1420605469,10,7.913718709
165788,Ohio,2024-01-15 14:47:43,Sunday,05:02:03,Stormy,Dry,Night,Highway,Underpass,Pedestrian involved,Bicycle,Young Adult,1,1,58,3.057723254,6.070333114,517.8168207,3.1264923,0.4415049165,24,14.08471807
165789,Ohio,2024-02-08 21:49:39,Tuesday,17:31:08,Foggy,Icy,Dusk,Highway,Underpass,Cyclist involved,Motorcycle,Young Adult,4,3,58,9.342311046,3.216075438,805.4065963,3.596624396,0.4733861769,97,9.269169268
165790,South Dakota,2024-01-02 16:14:03,Monday,13:38:41,Foggy,Muddy,Dusk,Rural,Crossroads,Head-on collision,Truck,Adult,2,3,38,0.5926695219,4.988674032,672.0626108,8.311437434,0.7950541431,32,11.10539402
165791,North Carolina,2024-01-02 03:02:27,Monday,09:22:29,Stormy,Dry,Night,Freeway,Crossroads,Head-on collision,Car,Young Adult,4,2,59,8.214043153,1.630369298,735.3501666,6.967953024,0.2489323094,81,
165792,Nevada,2024-01-06 13:59:49,Monday,23:59:37,Sunny,Snowy,Dusk,Highway,Intersection,Rollover,Truck,Young Adult,5,1,,3.159094447,2.850944848,455.3249473,7.676312579,0.1688781353,86,15.34942085
165793,Washington,2024-02-20 03:25:20,Tuesday,08:28:18,Foggy,Dry,Daylight,Freeway,Overpass,Run-off-road,Truck,Teenager,2,1,38,8.086727959,4.738501481,269.0308048,6.290155031,0.7905680512,,5.666924274
165794,Illinois,2024-01-21 07:39:07,Sunday,15:47:57,Stormy,Icy,Dawn,Urban,Intersection,Head-on collision,Truck,Teenager,2,3,40,0.9224056577,3.621837887,558.5787252,7.810080772,0.3144632256,32,
165795,North Dakota,2024-01-20 04:56:44,Wednesday,20:25:58,Rainy,Wet,Dusk,Street,Roundabout,Rollover,Car,Teenager,4,1,52,9.531733131,5.594877412,711.2176951,4.939794675,0.9249086304,47,24.43823748
165796,Connecticut,2024-01-30 05:18:31,Saturday,21:39:27,Sunny,Snowy,Dawn,Urban,Roundabout,Rear-end collision,Bicycle,Young Adult,5,0,37,8.13242106,4.197604074,936.4429386,,0.877402256,34,
165797,Missouri,2024-01-25 06:04:25,Monday,01:44:09,Rainy,Muddy,Daylight,Urban,Roundabout,Rear-end collision,Car,Senior,5,2,32,4.620569423,4.356742043,738.4868823,7.578131649,0.2390291909,62,19.36943843
165798,Hawaii,2024-01-06 11:42:44,Friday,18:22:22,Sunny,Icy,Night,Urban,,Rollover,Truck,Young Adult,1,1,39,5.826124851,4.03053846,666.4652689,9.557814778,0.6723352584,,26.9770632
165799,New Hampshire,2024-01-23 20:15:36,Sunday,23:49:51,Rainy,Muddy,Night,Freeway,Overpass,Rollover,Car,Senior,2,3,35,1.985884092,4.568169962,770.4172144,5.35906742,0.7105347025,60,27.41198552
165800,Oklahoma,2024-02-01 14:24:25,Friday,17:31:50,Foggy,Dry,Daylight,Freeway,Roundabout,Rear-end collision,Pedestrian,Adult,3,2,58,3.374431458,4.470443304,410.5828416,9.194643113,0.2306190824,81,
165801,Iowa,2024-02-16 12:24:28,Tuesday,07:05:50,Sunny,Snowy,Daylight,Highway,Crossroads,Rear-end collision,Pedestrian,Teenager,1,0,61,0.3111209585,9.914211466,745.3600937,7.032759465,0.5598498585,18,28.19997126
165802,North Dakota,2024-01-15 09:51:25,Saturday,01:44:34,Stormy,Muddy,Dawn,Highway,Underpass,Pedestrian involved,Car,Young Adult,4,2,69,5.111951344,2.71380967,384.9926959,8.872681668,0.8531747157,,19.43378304
165803,Louisiana,2024-02-20 18:55:29,Thursday,00:54:50,Rainy,Snowy,Daylight,Rural,Crossroads,Rollover,Pedestrian,Teenager,4,3,53,5.770686428,0.2091196058,413.4774388,6.107676777,0.2537970206,76,27.00247098
165804,Mississippi,2024-02-24 11:08:23,Wednesday,12:56:15,Rainy,Icy,Dawn,Urban,Roundabout,Cyclist involved,Bicycle,Adult,3,3,46,1.708608346,8.641816799,816.6296306,8.134047162,0.2590361288,0,15.26179599
165805,Washington,2024-02-26 11:23:59,Friday,21:23:05,Sunny,Snowy,Dusk,Rural,T-Junction,Run-off-road,Motorcycle,Young Adult,5,1,60,4.657293697,6.97656159,589.0406126,,0.9266817478,46,26.39389547
165806,Louisiana,2024-02-26 11:10:54,Saturday,09:45:14,Stormy,Muddy,Dusk,Urban,Roundabout,Head-on collision,Car,Young Adult,5,1,49,4.981248902,7.555297055,718.5693392,4.353054964,0.5415826799,21,16.89233758
165807,South Dakota,2024-02-07 21:59:50,Monday,16:51:27,Rainy,Icy,Dusk,Rural,Underpass,Cyclist involved,Pedestrian,Young Adult,3,1,46,2.811543465,5.151248576,831.3292084,9.004799756,0.2808852272,84,29.02235704
165808,Minnesota,2024-02-17 01:40:13,Thursday,17:21:42,Foggy,Muddy,Dawn,Freeway,Intersection,Pedestrian involved,Truck,Adult,1,0,48,8.349847948,0.9176594112,133.8633739,8.862577617,0.2165758716,82,
165809,Maine,2024-01-11 00:54:38,Friday,19:36:46,Snowy,Muddy,Dawn,Highway,T-Junction,Run-off-road,Truck,Adult,5,2,42,2.537398477,0.6101650543,848.1534305,7.62320136,0.1027523713,35,8.338463332
165810,Montana,2024-01-24 10:49:30,Thursday,12:06:41,,Snowy,Dawn,Urban,Overpass,Pedestrian involved,Motorcycle,Young Adult,3,0,69,6.206052008,4.095599885,168.4589912,5.488999941,0.2640924675,,15.95734047
165811,Oregon,2024-01-05 12:17:29,Tuesday,12:14:21,,Dry,Dawn,Urban,Roundabout,Run-off-road,Truck,Young Adult,3,0,44,5.751238719,1.577578058,374.7351758,3.001505326,0.9623792332,57,20.51487494
165812,Hawaii,2024-01-31 19:33:32,Wednesday,08:49:35,Rainy,Icy,Dawn,Urban,Roundabout,Run-off-road,Motorcycle,Senior,2,2,43,3.07891238,7.613286002,455.4995107,7.898288922,0.9769242312,20,11.15227046
165813,South Dakota,2024-01-16 11:36:40,Monday,12:25:59,Sunny,Icy,Dusk,Freeway,Overpass,Head-on collision,Truck,Senior,4,2,31,8.019768353,9.941428582,992.7629245,7.957351035,0.562178006,31,15.13498984
165814,Kentucky,2024-01-12 03:51:24,Tuesday,02:52:44,Stormy,Icy,Dawn,Rural,Roundabout,Rear-end collision,Bicycle,Teenager,1,3,55,4.13223049,6.899916175,174.1044583,8.027316983,0.6533766191,17,20.81550616
165815,Wyoming,2024-01-18 08:28:11,Tuesday,01:17:23,Rainy,Dry,Night,Freeway,Roundabout,Rear-end collision,Car,Senior,4,0,68,5.564991095,8.662115902,655.1308357,7.35922961,0.2728909901,12,8.621779342
165816,Missouri,2024-01-18 23:57:39,Friday,21:58:34,Snowy,Icy,Night,Urban,Underpass,Pedestrian involved,Motorcycle,Young Adult,3,1,68,7.771135344,7.815790551,711.6501614,6.157711278,0.4066922909,5,
165817,Alabama,2024-02-16 03:35:52,Sunday,09:16:47,Rainy,Snowy,Night,Street,Crossroads,Rollover,Truck,Senior,5,1,66,7.801732728,4.042886865,645.340346,5.091916238,0.3244357515,,6.488233238
165818,Rhode Island,2024-02-18 09:05:06,Thursday,13:30:56,Stormy,Muddy,Dusk,Highway,Roundabout,Pedestrian involved,Motorcycle,Senior,1,0,31,6.064060555,9.210805665,525.5699876,5.773726226,0.1475327086,39,
165819,Alabama,2024-01-24 00:45:49,Wednesday,04:55:12,Stormy,Muddy,Dawn,Highway,T-Junction,Cyclist involved,Bicycle,Senior,3,2,32,7.345208699,7.516979349,558.8647655,,0.784399108,,
165820,Alaska,2024-02-03 23:48:45,Thursday,20:45:06,Rainy,Dry,Daylight,Urban,Overpass,Head-on collision,Pedestrian,Young Adult,4,0,45,7.254359678,8.172984755,703.1783915,9.945497128,0.8944431665,26,
165821,Hawaii,2024-01-17 20:48:09,Wednesday,16:06:02,Snowy,Muddy,Daylight,Urban,Intersection,Run-off-road,Truck,Teenager,4,3,44,9.112348558,2.632630046,641.8270689,8.669760132,0.9833547682,100,10.98246221
165822,Wyoming,2024-01-13 04:36:41,Saturday,21:03:41,Foggy,Snowy,Daylight,Highway,Underpass,Run-off-road,Bicycle,Teenager,3,0,34,2.959637181,7.168799347,701.8537097,9.610132486,0.3504975931,,18.99747606
165823,Iowa,2024-01-01 04:13:54,Tuesday,07:18:14,Snowy,Icy,Dawn,Rural,T-Junction,Cyclist involved,Car,Senior,5,0,40,7.874603387,5.41596674,108.9583668,3.865937253,0.9920335415,56,16.64349476
165824,Georgia,2024-02-25 17:29:49,Sunday,21:27:22,,Wet,Dusk,Street,Crossroads,Side collision,Bicycle,Adult,4,2,64,7.846709217,2.509812313,421.0122531,5.18877702,0.1193998145,,29.4682487
165825,California,2024-01-14 18:20:34,Tuesday,05:09:35,,Dry,Dusk,Freeway,Intersection,Pedestrian involved,Car,Young Adult,4,3,59,5.747259172,1.029426352,987.7415547,7.196960639,0.4413554315,,16.18260345
165826,Massachusetts,2024-01-10 11:16:49,Thursday,10:36:44,Foggy,Snowy,Dawn,Highway,Intersection,Head-on collision,Pedestrian,Adult,2,0,65,4.093808782,8.253216733,319.3510474,9.550049361,0.2197942128,4,25.96626216
165827,California,2024-01-05 01:56:56,Sunday,04:37:31,Snowy,Muddy,Dawn,Rural,Overpass,Cyclist involved,Bicycle,Teenager,5,1,58,5.344115002,3.531894397,523.7541944,,0.9652359561,20,
165828,New Jersey,2024-01-28 09:35:00,Thursday,06:44:24,Sunny,Snowy,Daylight,Highway,,Rollover,Pedestrian,Teenager,3,1,30,6.459887415,4.2715936,324.2096675,,0.5589526999,,13.94463339
165829,Missouri,2024-02-25 14:20:23,Sunday,15:39:31,Rainy,Dry,Dusk,Urban,Underpass,Head-on collision,Bicycle,Young Adult,5,0,47,8.29712835,4.752785314,368.5472477,6.559372315,0.3630061344,,8.540568721
165830,California,2024-02-22 12:38:36,Saturday,23:37:24,Stormy,Dry,Dawn,Freeway,Crossroads,Rear-end collision,Truck,Teenager,4,0,69,6.487967942,7.049964147,307.7408406,3.874655742,0.5539385799,93,23.97116484
165831,Alabama,2024-01-26 01:00:17,Thursday,06:59:45,Stormy,Wet,Daylight,Street,Crossroads,Rollover,Bicycle,Senior,4,1,59,1.89428703,4.339515461,938.857687,8.479913075,0.3844455606,49,14.64438566
165832,Florida,2024-01-23 18:21:58,Wednesday,10:32:00,Stormy,Icy,Daylight,Freeway,T-Junction,Cyclist involved,Bicycle,Young Adult,1,0,,3.265460882,4.613018432,285.386107,9.958998828,0.213233627,56,11.49929608
165833,Kentucky,2024-01-16 01:46:52,Wednesday,13:12:34,Stormy,Muddy,Night,Rural,Crossroads,Pedestrian involved,Bicycle,Teenager,4,0,30,6.257543004,3.947755566,287.7297396,6.8700004,0.9994404681,20,10.91418462
